guid,tag
4294,negative
4920,positive
2435,neutral
482,positive
2864,neutral
2799,positive
4726,positive
3334,positive
1784,negative
3457,positive
4125,negative
586,neutral
716,positive
926,positive
1943,negative
509,positive
1331,negative
1308,neutral
4584,negative
340,neutral
3042,neutral
946,positive
2852,positive
2817,negative
170,positive
2101,positive
4763,negative
4371,negative
713,positive
4548,positive
5053,negative
2018,positive
2335,negative
3001,positive
4614,positive
3797,neutral
741,positive
4127,negative
1599,neutral
3987,positive
3214,positive
508,positive
401,positive
4149,positive
4293,positive
68,positive
2131,negative
1849,positive
1747,positive
723,negative
3098,positive
4903,negative
1693,negative
4679,positive
4395,negative
2908,negative
2757,positive
1269,negative
1647,positive
4795,positive
2716,positive
3509,negative
1167,positive
3528,positive
2009,positive
19,negative
4313,positive
1752,positive
3686,positive
3834,neutral
4465,negative
2609,positive
1368,positive
3893,positive
3193,negative
3279,negative
4888,negative
2015,negative
4123,positive
507,positive
4749,positive
504,positive
3838,negative
4608,positive
1570,positive
2087,negative
3064,negative
2529,positive
920,negative
2938,positive
2384,positive
4936,positive
3423,positive
3802,positive
4704,positive
4118,positive
763,positive
3745,positive
4167,negative
470,positive
1652,positive
3092,negative
1326,positive
1855,negative
4641,positive
630,positive
4971,positive
2949,positive
1993,positive
2770,positive
